model_id,algorithm_id,mean_test_accuracy,mean_test_precision_micro,mean_test_precision_macro,mean_test_precision_weighted,mean_test_recall_micro,mean_test_recall_macro,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_micro,geometric_mean_score_macro,geometric_mean_score_weighted,matthews_corrcoef,f5_micro,f5_macro,f5_weighted,f1_micro,f1_macro,f1_weighted,f2_micro,f2_macro,f2_weighted,log_loss
2885,10,0.9016706444,0.9016706444,0.798717057,0.8841620618,0.9016706444,0.5619090909,0.9016706444,0.907030303,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.045367397
2886,10,0.9011933174,0.9011933174,0.7909172147,0.8824890479,0.9011933174,0.5616424242,0.9011933174,0.9067393939,0.9059665871,0.5944,0.5061991918,0.3338176297,0.9059665871,0.6928985326,0.8781994418,0.9059665871,0.6291618932,0.8822623177,0.9059665871,0.6027609831,0.8950179864,0.0482195357
2887,10,0.9121718377,0.9121718377,0.7912156142,0.9010665427,0.9121718377,0.6761030303,0.9121718377,0.903430303,0.9174224344,0.6790363636,0.6358163763,0.4742597518,0.9174224344,0.76827228,0.9041544255,0.9174224344,0.7223760599,0.9062039356,0.9174224344,0.6928807765,0.9120717897,0.6453274479
2888,10,0.9093078759,0.9093078759,0.779690204,0.897205749,0.9093078759,0.6664787879,0.9093078759,0.9032484848,0.9264916468,0.7322484848,0.7060151823,0.555751992,0.9264916468,0.8039238215,0.9185152523,0.9264916468,0.7706143494,0.9199929986,0.9264916468,0.7455532689,0.9233968462,0.664752991
2889,10,0.9126491647,0.9126491647,0.793848436,0.9016470479,0.9126491647,0.676369697,0.9126491647,0.9040666667,0.9188544153,0.6878606061,0.6479151746,0.4881165539,0.9188544153,0.7746183726,0.9066047989,0.9188544153,0.7308060927,0.908544513,0.9188544153,0.7017987074,0.9139324009,0.6565819304
2890,10,0.9088305489,0.9088305489,0.7731536214,0.8961269501,0.9088305489,0.6682181818,0.9088305489,0.9045393939,0.9264916468,0.7462909091,0.7242084059,0.5653493792,0.9264916468,0.8037755928,0.9199759986,0.9264916468,0.7782087311,0.921470976,0.9264916468,0.7577168649,0.9241584476,0.6760960822
2891,10,0.9107398568,0.9107398568,0.78010797,0.8986809434,0.9107398568,0.6753030303,0.9107398568,0.9047272727,0.9169451074,0.6767636364,0.6327099497,0.4701003354,0.9169451074,0.7661906433,0.903413522,0.9169451074,0.7200178805,0.9055127926,0.9169451074,0.6905326957,0.9114977513,0.6642533193
2892,10,0.9088305489,0.9088305489,0.7731536214,0.8961269501,0.9088305489,0.6682181818,0.9088305489,0.9046666667,0.9260143198,0.7299757576,0.7031596467,0.5520404314,0.9260143198,0.8022642869,0.917856512,0.9260143198,0.7685563002,0.9193624475,0.9260143198,0.7433209978,0.9228468545,0.6837263613
2893,10,0.9107398568,0.9107398568,0.7806386257,0.898792951,0.9107398568,0.6753030303,0.9107398568,0.9049151515,0.9183770883,0.6855878788,0.6448565139,0.4840448112,0.9183770883,0.7726208041,0.9058804717,0.9183770883,0.7285037525,0.9078646947,0.9183770883,0.6994709495,0.9133625894,0.6744151795
2894,10,0.908353222,0.908353222,0.7710320405,0.8953295792,0.908353222,0.6659454545,0.908353222,0.9054242424,0.9212410501,0.7052424242,0.6713504827,0.5125239775,0.9212410501,0.7847079259,0.9108733757,0.9212410501,0.7460932479,0.9126849793,0.9212410501,0.7189267228,0.9171684112,0.6854148475
2895,10,0.9093078759,0.9093078759,0.7727919923,0.8967169999,0.9093078759,0.6724969697,0.9093078759,0.9055393939,0.9169451074,0.6767636364,0.6327099497,0.4701003354,0.9169451074,0.7661906433,0.903413522,0.9169451074,0.7200178805,0.9055127926,0.9169451074,0.6905326957,0.9114977513,0.678678194
2896,10,0.908353222,0.908353222,0.7719197081,0.8955083386,0.908353222,0.6659454545,0.908353222,0.9052484848,0.9212410501,0.7052424242,0.6713504827,0.5125239775,0.9212410501,0.7847079259,0.9108733757,0.9212410501,0.7460932479,0.9126849793,0.9212410501,0.7189267228,0.9171684112,0.6922075913
2897,10,0.9097852029,0.9097852029,0.7842122419,0.8974125288,0.9097852029,0.6627333333,0.9097852029,0.9051272727,0.9183770883,0.6815757576,0.6391170809,0.4809864989,0.9183770883,0.7721198839,0.9053664287,0.9183770883,0.7255855852,0.9072882832,0.9183770883,0.6956471034,0.9130696143,0.6853226676
2898,10,0.907875895,0.907875895,0.7702038272,0.8947718576,0.907875895,0.6636727273,0.907875895,0.9053393939,0.9217183771,0.7075151515,0.6743105129,0.5164224476,0.9217183771,0.7865385559,0.9115651593,0.9217183771,0.7482753366,0.9133404499,0.9217183771,0.7212083147,0.9177285997,0.6984751761
2899,10,0.9093078759,0.9093078759,0.7832905675,0.8968454699,0.9093078759,0.6604606061,0.9093078759,0.9054363636,0.9183770883,0.6835818182,0.6419932112,0.4825089568,0.9183770883,0.7723716139,0.9056235496,0.9183770883,0.7270533002,0.9075783112,0.9183770883,0.6975632031,0.9132170329,0.6926929738
2900,10,0.907398568,0.907398568,0.7683796917,0.8940145594,0.907398568,0.6614,0.907398568,0.9052484848,0.9264916468,0.7342545455,0.7086428116,0.5570889785,0.9264916468,0.8038928395,0.9187208112,0.9264916468,0.7717348238,0.9202116598,0.9264916468,0.7473132648,0.9235106636,0.710623304
2901,10,0.9116945107,0.9116945107,0.7859964413,0.8996065613,0.9116945107,0.673830303,0.9116945107,0.9053212121,0.9178997613,0.6833151515,0.6417863018,0.4799509728,0.9178997613,0.7706030019,0.9051521447,0.9178997613,0.7261887393,0.9071823169,0.9178997613,0.6971386584,0.912791843,0.6991634246
2902,10,0.907875895,0.907875895,0.7708667236,0.8945588782,0.907875895,0.6616666667,0.907875895,0.9052181818,0.9255369928,0.7277030303,0.7002952403,0.5483128639,0.9255369928,0.8005903555,0.9171950046,0.9255369928,0.7664877564,0.9187297959,0.9255369928,0.7410844862,0.9222959895,0.7185329613
2903,10,0.9112171838,0.9112171838,0.7852574129,0.8990736941,0.9112171838,0.6715575758,0.9112171838,0.9050606061,0.9178997613,0.6833151515,0.6417863018,0.4799509728,0.9178997613,0.7706030019,0.9051521447,0.9178997613,0.7261887393,0.9071823169,0.9178997613,0.6971386584,0.912791843,0.7089967912
2904,10,0.907398568,0.907398568,0.7647331803,0.894248872,0.907398568,0.6674181818,0.907398568,0.9045090909,0.922673031,0.7080484848,0.6747362159,0.5213331405,0.922673031,0.7899883553,0.9124881535,0.922673031,0.7500706951,0.914147011,0.922673031,0.7221001946,0.918588915,0.7196166742
